PLAYER_ID,PLAYER_NAME,VALUE,RANK,IS_ACTIVE_FLAG,CATEGORY
305,Robert Parish,1611.0,1,N,GP
2544,LeBron James,1562.0,2,Y,GP
76003,Kareem Abdul-Jabbar,1560.0,3,N,GP
1713,Vince Carter,1541.0,4,N,GP
1717,Dirk Nowitzki,1522.0,5,N,GP
304,John Stockton,1504.0,6,N,GP
252,Karl Malone,1476.0,7,N,GP
708,Kevin Garnett,1462.0,8,N,GP
788,Kevin Willis,1424.0,9,N,GP
1891,Jason Terry,1410.0,10,N,GP
2544,LeBron James,42184.0,1,Y,PTS
76003,Kareem Abdul-Jabbar,38387.0,2,N,PTS
252,Karl Malone,36928.0,3,N,PTS
977,Kobe Bryant,33643.0,4,N,PTS
893,Michael Jordan,32292.0,5,N,PTS
1717,Dirk Nowitzki,31560.0,6,N,PTS
76375,Wilt Chamberlain,31419.0,7,N,PTS
201142,Kevin Durant,30763.0,8,Y,PTS
406,Shaquille O'Neal,28596.0,9,N,PTS
2546,Carmelo Anthony,28289.0,10,N,PTS
304,John Stockton,15806.0,1,N,AST
101108,Chris Paul,12528.0,2,Y,AST
467,Jason Kidd,12091.0,3,N,AST
2544,LeBron James,11584.0,4,Y,AST
959,Steve Nash,10335.0,5,N,AST
349,Mark Jackson,10334.0,6,N,AST
77142,Magic Johnson,10141.0,7,N,AST
201566,Russell Westbrook,9979.0,8,Y,AST
600015,Oscar Robertson,9887.0,9,N,AST
78318,Isiah Thomas,9061.0,10,N,AST
304,John Stockton,3265.0,1,N,STL
101108,Chris Paul,2726.0,2,Y,STL
467,Jason Kidd,2684.0,3,N,STL
893,Michael Jordan,2514.0,4,N,STL
56,Gary Payton,2445.0,5,N,STL
2544,LeBron James,2345.0,6,Y,STL
76385,Maurice Cheeks,2310.0,7,N,STL
937,Scottie Pippen,2307.0,8,N,STL
17,Clyde Drexler,2207.0,9,N,STL
165,Hakeem Olajuwon,2162.0,10,N,STL
77449,Moses Malone,6731.0,1,N,OREB
305,Robert Parish,4598.0,2,N,OREB
433,Buck Williams,4526.0,3,N,OREB
23,Dennis Rodman,4329.0,4,N,OREB
787,Charles Barkley,4260.0,5,N,OREB
406,Shaquille O'Neal,4209.0,6,N,OREB
2730,Dwight Howard,4151.0,7,N,OREB
788,Kevin Willis,4132.0,8,N,OREB
165,Hakeem Olajuwon,4034.0,9,N,OREB
891,Charles Oakley,3924.0,10,N,OREB
708,Kevin Garnett,11453.0,1,N,DREB
252,Karl Malone,11406.0,2,N,DREB
1495,Tim Duncan,11232.0,3,N,DREB
2730,Dwight Howard,10476.0,4,N,DREB
305,Robert Parish,10117.0,5,N,DREB
1717,Dirk Nowitzki,10021.0,6,N,DREB
2544,LeBron James,9932.0,7,Y,DREB
165,Hakeem Olajuwon,9714.0,8,N,DREB
77449,Moses Malone,9481.0,9,N,DREB
76003,Kareem Abdul-Jabbar,9394.0,10,N,DREB
76375,Wilt Chamberlain,23924.0,1,N,REB
78049,Bill Russell,21620.0,2,N,REB
76003,Kareem Abdul-Jabbar,17440.0,3,N,REB
76979,Elvin Hayes,16279.0,4,N,REB
77449,Moses Malone,16212.0,5,N,REB
1495,Tim Duncan,15091.0,6,N,REB
252,Karl Malone,14968.0,7,N,REB
305,Robert Parish,14715.0,8,N,REB
708,Kevin Garnett,14662.0,9,N,REB
2730,Dwight Howard,14627.0,10,N,REB
165,Hakeem Olajuwon,3830.0,1,N,BLK
87,Dikembe Mutombo,3289.0,2,N,BLK
76003,Kareem Abdul-Jabbar,3189.0,3,N,BLK
76631,Mark Eaton,3064.0,4,N,BLK
1495,Tim Duncan,3020.0,5,N,BLK
764,David Robinson,2954.0,6,N,BLK
121,Patrick Ewing,2894.0,7,N,BLK
406,Shaquille O'Neal,2732.0,8,N,BLK
78014,Tree Rollins,2542.0,9,N,BLK
305,Robert Parish,2361.0,10,N,BLK
76003,Kareem Abdul-Jabbar,15837.0,1,N,FGM
2544,LeBron James,15488.0,2,Y,FGM
252,Karl Malone,13528.0,3,N,FGM
76375,Wilt Chamberlain,12681.0,4,N,FGM
893,Michael Jordan,12192.0,5,N,FGM
977,Kobe Bryant,11719.0,6,N,FGM
406,Shaquille O'Neal,11330.0,7,N,FGM
1717,Dirk Nowitzki,11169.0,8,N,FGM
76979,Elvin Hayes,10976.0,9,N,FGM
165,Hakeem Olajuwon,10749.0,10,N,FGM
2544,LeBron James,30583.0,1,Y,FGA
76003,Kareem Abdul-Jabbar,28307.0,2,N,FGA
252,Karl Malone,26210.0,3,N,FGA
977,Kobe Bryant,26200.0,4,N,FGA
893,Michael Jordan,24537.0,5,N,FGA
76979,Elvin Hayes,24272.0,6,N,FGA
76970,John Havlicek,23930.0,7,N,FGA
1717,Dirk Nowitzki,23734.0,8,N,FGA
76375,Wilt Chamberlain,23497.0,9,N,FGA
2546,Carmelo Anthony,22643.0,10,N,FGA
1629655,Daniel Gafford,0.71,1,Y,FG_PCT
201599,DeAndre Jordan,0.674,2,Y,FG_PCT
203497,Rudy Gobert,0.657,3,Y,FG_PCT
1628386,Jarrett Allen,0.64,4,Y,FG_PCT
1629651,Nic Claxton,0.635,5,Y,FG_PCT
1627751,Jakob Poeltl,0.631,6,Y,FG_PCT
1626149,Montrezl Harrell,0.619,7,N,FG_PCT
203991,Clint Capela,0.617,8,Y,FG_PCT
1627826,Ivica Zubac,0.616,9,Y,FG_PCT
1630168,Onyeka Okongwu,0.607,10,Y,FG_PCT
2544,LeBron James,5471.0,1,Y,TOV
201566,Russell Westbrook,4856.0,2,Y,TOV
252,Karl Malone,4524.0,3,N,TOV
201935,James Harden,4292.0,4,Y,TOV
304,John Stockton,4244.0,5,N,TOV
977,Kobe Bryant,4010.0,6,N,TOV
467,Jason Kidd,4003.0,7,N,TOV
77449,Moses Malone,3804.0,8,N,TOV
78318,Isiah Thomas,3682.0,9,N,TOV
165,Hakeem Olajuwon,3667.0,10,N,TOV
201939,Stephen Curry,4093.0,1,Y,FG3M
201935,James Harden,3202.0,2,Y,FG3M
951,Ray Allen,2973.0,3,N,FG3M
203081,Damian Lillard,2804.0,4,Y,FG3M
202691,Klay Thompson,2711.0,5,Y,FG3M
397,Reggie Miller,2560.0,6,N,FG3M
2544,LeBron James,2559.0,7,Y,FG3M
2594,Kyle Korver,2450.0,8,N,FG3M
202331,Paul George,2349.0,9,Y,FG3M
1713,Vince Carter,2290.0,10,N,FG3M
201939,Stephen Curry,9679.0,1,Y,FG3A
201935,James Harden,8820.0,2,Y,FG3A
203081,Damian Lillard,7556.0,3,Y,FG3A
951,Ray Allen,7429.0,4,N,FG3A
2544,LeBron James,7322.0,5,Y,FG3A
202691,Klay Thompson,6615.0,6,Y,FG3A
397,Reggie Miller,6486.0,7,N,FG3A
2037,Jamal Crawford,6379.0,8,N,FG3A
1713,Vince Carter,6168.0,9,N,FG3A
202331,Paul George,6127.0,10,Y,FG3A
70,Steve Kerr,0.454,1,N,FG3_PCT
93,Hubert Davis,0.441,2,N,FG3_PCT
1628379,Luke Kennard,0.438,3,Y,FG3_PCT
77845,Drazen Petrovic,0.437,4,N,FG3_PCT
203925,Joe Harris,0.436,5,N,FG3_PCT
2574,Jason Kapono,0.434,6,N,FG3_PCT
203552,Seth Curry,0.433,7,N,FG3_PCT
100,Tim Legler,0.431,8,N,FG3_PCT
200779,Steve Novak,0.43,9,N,FG3_PCT
1631165,Keon Ellis,0.429,10,Y,FG3_PCT
76003,Kareem Abdul-Jabbar,4657.0,1,N,PF
252,Karl Malone,4578.0,2,N,PF
305,Robert Parish,4443.0,3,N,PF
891,Charles Oakley,4421.0,4,N,PF
165,Hakeem Olajuwon,4383.0,5,N,PF
433,Buck Williams,4267.0,6,N,PF
76979,Elvin Hayes,4193.0,7,N,PF
361,Clifford Robinson,4175.0,8,N,PF
788,Kevin Willis,4172.0,9,N,PF
901,Otis Thorpe,4146.0,10,N,PF
252,Karl Malone,9787.0,1,N,FTM
2544,LeBron James,8649.0,2,Y,FTM
77449,Moses Malone,8531.0,3,N,FTM
977,Kobe Bryant,8378.0,4,N,FTM
201935,James Harden,8209.0,5,Y,FTM
600015,Oscar Robertson,7694.0,6,N,FTM
201142,Kevin Durant,7351.0,7,Y,FTM
893,Michael Jordan,7327.0,8,N,FTM
1717,Dirk Nowitzki,7240.0,9,N,FTM
78497,Jerry West,7160.0,10,N,FTM
252,Karl Malone,13188.0,1,N,FTA
76375,Wilt Chamberlain,11862.0,2,N,FTA
2544,LeBron James,11735.0,3,Y,FTA
406,Shaquille O'Neal,11252.0,4,N,FTA
77449,Moses Malone,11090.0,5,N,FTA
977,Kobe Bryant,10011.0,6,N,FTA
201935,James Harden,9527.0,7,Y,FTA
2730,Dwight Howard,9455.0,8,N,FTA
76003,Kareem Abdul-Jabbar,9304.0,9,N,FTA
600015,Oscar Robertson,9185.0,10,N,FTA
201939,Stephen Curry,0.912,1,Y,FT_PCT
959,Steve Nash,0.904,2,N,FT_PCT
899,Mark Price,0.904,2,N,FT_PCT
600013,Rick Barry,0.9,4,N,FT_PCT
203081,Damian Lillard,0.899,5,Y,FT_PCT
978,Peja Stojakovic,0.895,6,N,FT_PCT
1497,Chauncey Billups,0.894,7,N,FT_PCT
951,Ray Allen,0.894,7,N,FT_PCT
77669,Calvin Murphy,0.892,9,N,FT_PCT
200755,JJ Redick,0.892,9,N,FT_PCT
